max: 9999, 2: 0.000017
max: 9999, 3: 0.000017
max: 9999, 4: 0.000018
max: 9999, 5: 0.000019
max: 9999, 6: 0.000021
max: 9999, 7: 0.000023
max: 9999, 8: 0.000026
max: 9999, 9: 0.000028
max: 9999, 10: 0.000025
max: 9999, 11: 0.000026
max: 9999, 12: 0.000028
max: 9999, 13: 0.000027
max: 9999, 14: 0.000030
max: 9999, 15: 0.000031
max: 9999, 16: 0.000034
max: 9999, 17: 0.000033
max: 9999, 18: 0.000034
max: 9999, 19: 0.000034
max: 9999, 20: 0.000038
max: 9999, 21: 0.000038
max: 9999, 22: 0.000039
max: 9999, 23: 0.000041
max: 9999, 24: 0.000041
